Rule	Text
7.2.3c	If the attack-source was a chain link before it becomes a new chain link, the previous chain link continues to exist and Last Known Information is used. (See Rule 3.5.4b)
7.2.4.	Third, the attack is considered to be attacking until it leaves the combat chain. The “attack” event occurs and effects that trigger from attacking are triggered. Example: The attack is Dread Triptych. The abilities “When you attack with Dread Triptych, if you’ve played a ’non-attack’ action card this turn, create a Runechant token.” and “When you attack with Dread Triptych, if you’ve dealt arcane damage this turn, create a Runechant token.” trigger and are added as separate triggered-layers on the stack.
7.2.4a	If the attack is an attack ability, then its source is moved onto the current chain link and the source is considered to be “attacking” until the current chain link resolves. If the source is already on another chain link, it is still moved to the current chain link. Example: If the player activates an attack ability on an ally object, the ally moves to the chain link of its attack and becomes an “attacking ally” until its attack resolves.
7.2.4b	If the attack is a card or activated attack created by an attack ability from a non-living object (see Rule 2.5.1), then the controller of the attack and their hero card become the “attacking hero” until the current chain link resolves, for the purposes of rules and effects.
7.2.4c	The target (if any) of the attack is considered to be defending. If the target of the attack is a hero, that hero and their controller become the “defending hero” until the current chain link resolves, for the purposes of rules and effects.
7.2.5.	Fourth, the turn player gains priority.
7.2.6.	Fifth and finally, when the stack is empty and all players pass in succession, the Attack Step ends and the Defend Step begins.
7.3.	Defend Step
7.3.1.	The Defend Step is a game state where defending objects are initially declared.
7.3.2.	First, the defending hero (if any) declares any number of non-defense reaction cards from their hand and/or objects with the type equipment they control. Objects declared this way are considered to be “defending” on the current chain link. The “defend” event occurs and effects that trigger from defending are triggered.
7.3.2a	If there is no defending hero, then no defending objects are declared. Otherwise, the defending hero must declare all objects simultaneously, or declare that they are not defending with any objects.
7.3.2b	The defending hero cannot defend with an object that is already a defending object on another chain link.
7.3.2c	An object must have the defense property to be declared this way (0 is a value). If an object does not have the defense property, it can not become defending.
7.3.2d	Defending with a card this way is not considered playing the card. It does not incur the cost for playing that card, it does not add it as a layer on the stack, nor does it resolve any resolution abilities on that card.
7.3.2e	If two or more objects are declared this way, all defending objects are considered to be put onto the current chain link simultaneously in a single compound event. The defending hero decides the order of the defending cards within the compound event for the purposes of effects. (See Rule 1.9.2)
7.3.3.	Second, the turn player gains priority.
7.3.4.	Third and finally, when the stack is empty and all players pass in succession, the Defend Step ends and the Reaction Step begins.
7.4.	Reaction Step
7.4.1.	The Reaction Step is a game state where players may use reactions related to combat.
7.4.2.	First, the turn player gains priority.
7.4.2a	The attacking hero (if any) can play/activate attack reaction cards/abilities when they have priority during the Reaction Step.
7.4.2b	The defending hero (if any) can play/activate defense reaction cards/abilities when they have priority during the Reaction Step.
7.4.2c	A defense reaction card/ability cannot be played/activated if a rule or effect would prevent the player from defending with that card/ability.
7.4.2d	When a defense reaction card resolves it becomes a defending card and the defending hero is considered to have defended with it. The “defend” event occurs and effects that trigger from defending with a card are triggered.
7.4.3.	Second and finally, when the stack is empty and all players pass in succession, the Reaction Step ends and the Damage Step begins.
7.5.	Damage Step
7.5.1.	The Damage Step is a game state where the physical damage of the chain link is calculated and applied. Players do not get priority during the Damage Step.
7.5.2.	First and only, if the power of the attack is greater than the sum total defense value of defending objects on the current chain link, the attack deals {p} damage (physical damage) to the target (if any) equal to the difference. Then the Damage Step ends and the Resolution Step begins. Example: If the power of the attack is 6, and there are two defending cards with a defense 3 and 2 respectively then the sum total defense value of the defending objects is 5. The power of the attack is greater than the sum total defense, so the target is dealt 6 − 5 = 1 {p} damage.
7.5.2a	Dealing {p} damage to the attack target this way, is a hit-event generated by the game (Rule 7.5.3). The source of the damage is the attack.
7.5.2b	If the target has ceased to exist or is illegal when the damage is calculated, no damage is dealt, and the effect is not generated.
7.5.3.	An attack is considered to have hit if it deals damage to the attack target during the Damage Step of combat. The hit-event is a composite event that includes the internal event of {p} damage being dealt to the target and only occurs during the Damage Step of combat. (See Rule 1.9.3)
7.5.3a	If the target loses life as a result of anything except damage dealt by the attack, then the attack is not considered to have hit.
7.5.3b	If the internal event of dealing does not occur (the target is not dealt any damage), then the hit- event does not occur and the attack is not considered to have hit. Example: Feign Death has the text “The next time you would be dealt damage this turn, prevent it.”. If the effect from Feign Death prevents the all damage dealt by the attack, no damage is dealt, the hit-event does not occur, and the attack is not considered to have hit.
7.5.3c	If the damage event is modified such that the attack is not the source of any damage dealt to the target (the target is dealt damage, but not by the attack), the event no longer a composite hit-event and the attack is not considered to have hit. This is the exception to the composite-event rule Rule 1.9.3.
7.6.	Resolution Step
7.6.1.	The Resolution Step is a game state where the current chain link resolves.
7.6.2.	First, the current chain link is considered to be resolved and effects that trigger when the chain link resolves are triggered.
7.6.3.	Second, the turn player gains priority.
7.6.4.	Third and finally, when the stack is empty and all players pass in succession, the Resolution Step ends and the Link Step begins.
7.7.	Link Step
7.7.1.	The Link Step is a game state where the combat can either continue with the chain of attacks or close the combat chain.
7.7.2.	First, if the attack has go again, its controller gains 1 action point.
7.7.2a	If the attack is no longer on the combat chain, the last known information of the attack is used to determine whether the attack has go again.
7.7.3.	Second, the turn player gains priority. The turn player may play an attack action card or activate an attack ability. If an attack is added to the stack, the Link Step ends and the Layer Step begins.
7.7.4.	Third and finally, when the stack is empty and all players pass in succession, the Link Step ends and the Close Step begins.
7.8.	Close Step
7.8.1.	The Close Step is a game state where the combat chain closes and combat ends. Players do not get priority during the Close Step.
7.8.2.	If a rule or effect causes the combat chain to close, the current step (if any) ends, and the Close Step immediately begins. The combat chain closes from the following:
7.8.2a	If all players pass in succession when the stack is empty during the Link Step. (See Rule 7.7.4)
7.8.2b	If the target of the attack ceases to exist before the attack becomes attacking, at the beginning of the Attack step. (See Rule 7.2.2)
7.8.2c	If the attack of the current chain link ceases to exist before the chain link resolves, at the beginning of the Resolution Step of combat. (See Rule 7.6.2) Example: Luminaris has the text “[...] Illusionist auras you control are weapons with 1{p} and “Once per Turn Action — 0: Attack””. If a Spectral Shield token is activated to attack the opponent, and the token is destroyed before the Resolution Step, the activated attack will also cease to exist, and the Close Step will begin.
7.8.2d	If an effect closes the combat chain. Example: The Phantasm and Spectra triggered effects close the combat chain when the triggered-layer resolves on the stack.
7.8.3.	First, the combat chain closes. The “combat chain closes” event occurs and abilities that trigger from the combat chain closing are triggered. All cards and activated abilities on the stack with the attack reaction type, defense reaction type, and/or attack subtype, are put into their owner’s graveyard.
7.8.4.	Second, layers on the stack resolve, and additional triggered-layers are added as if all players are passing priority in succession.
7.8.5.	Third, when the stack is empty, all permanents remaining on the combat chain return to their respective zones. Equipment, and weapons, that started the game in any of the arms, chest, head, legs, and weapon zones return to their respective zones. Any other permanent returns to the permanent zone.
7.8.6.	Fourth, all remaining objects on the combat chain are cleared. (See Rule 3.0.12)
7.8.7.	Fifth and finally, the Close Step ends, and the Action Phase continues.
8.	Keywords
8.0.	General
8.0.1.	A keyword is a reserved term or phrase that serves as a descriptive element for rules and/or effects to reference or has some rules meaning.
8.0.2.	A type/subtype keyword is a keyword used by a card’s text box to describe the type/subtype of an object.
8.0.3.	An ability keyword is a keyword that substitutes for the rules text of an ability.
8.0.4.	A label keyword is a keyword that groups abilities with common effects. A label keyword and its ability are typically written in the format “[KEYWORD] — [ABILITY]”.
8.0.5.	An effect keyword is a keyword that substitutes for the rules text of an effect.
8.0.6.	A token keyword is a keyword that refers to a specific token. A token keyword is typically written in the format “[KEYWORD] token”.
8.1.	Type Keywords
8.1.1.	Action
8.1.1a	A card/activated ability with the type action can only be played/activated when the stack is empty unless it is played/activated as an instant.
8.1.1b	A card/activated ability with the type action cannot be played/activated during combat, except during the link step unless it is played/activated as an instant. (See Rule 7.0.7)
8.1.1c	A card/activated ability with the type action has the additional assetcost of one action point to play/activate, unless it is played/activated as an instant. (See Rule 5.1.6)
8.1.1d	If a card/activated ability with the type action is played as an instant, it retains the type action and does not gain the type instant.
8.1.2.	Attack Reaction
8.1.2a	A card or activated ability with the type attack reaction can only be played or activated by a player who controls an attacking hero during the reaction step. (See Section 7.4 - Reaction Step)
8.1.2b	When a card with the type attack reaction resolves as a layer on the stack, it is put onto the current chain link.
8.1.2c	An attack reaction card or activated ability is considered to be a reaction card/ability.
8.1.3.	Defense Reaction
8.1.3a	A card or activated ability with the type defense reaction can only be played or activated by a player who controls a defending hero during the reaction step. (See Section 7.4 - Reaction Step)
8.1.3b	When a card with the type defense reaction resolves as a layer on the stack, it becomes a defending card for the current chain link. (See Rule 3.5.4d)
8.1.3c	A defense reaction card or activated ability is considered to be a reaction card/ability.
8.1.4.	Equipment
8.1.4a	A card with the type equipment starts in the game as a permanent if it is selected during the start of game procedure. If so, it must start the game in the zone that matches its subtype, or in the Weapon zone if the subtype is off-hand. (See Section 4.1 - Starting a Game)
8.1.4b	An object with the type equipment may be declared as a defending card during the defend step of combat by the player that controls it. (See Rule 7.3.2)
8.1.5.	Hero
8.1.5a	A card with the type hero is referred to as a “hero card”.
8.1.5b	A hero card starts the game as a permanent in the hero zone. (See Section 4.1 - Starting a Game)
8.1.5c	A hero card is separate to and cannot be included in a player’s deck.
8.1.6.	Instant
8.1.6a	A card/activated ability with the type instant can be played/activated any time the player has priority.
8.1.7.	Resource
8.1.7a	A card with the type resource cannot be played.
8.1.8.	Weapon
8.1.8a	A card with the type weapon starts the game as a permanent in the weapon zone if it is selected during the start of game procedure. (See Section 4.1 - Starting a Game)
8.1.9.	Mentor
8.1.9a	A card with the type mentor can only be included in a player’s deck if their hero has the young subtype.
8.2.	Subtype Keywords
8.2.1.	(1H)
8.2.1a	An object with the subtype (1H) is one-handed.
8.2.2.	(2H)
8.2.2a	An object with the subtype (2H) is two-handed.
8.2.2b	If a two-handed object is in the weapon zone, it also occupies an additional empty weapon zone. The additional weapon zone is considered to contain the two-handed object. A two-handed object cannot start the game in a player’s weapon zone if they do not have an additional empty weapon zone for it to occupy.
8.2.3.	Attack
8.2.3a	A card with subtype attack, is considered an attack for combat. (See Rule 7.0.2)
8.2.3b	If a card with the subtype attack is played, the combat chain opens (if it is closed) and the layer step of combat begins. (See Section 7.1 - Layer Step)
8.2.4.	Aura
8.2.4a	If a card with the subtype aura resolves as a layer on the stack, it enters the arena.
8.2.4b	If an object with the subtype aura enters the arena, it is considered a permanent in the arena.
8.2.5.	Item
8.2.5a	If a card with the subtype item resolves as a layer on the stack, it enters the arena.
8.2.5b	If an object with the subtype item enters the arena, it is considered a permanent in the arena.
8.2.6.	Arrow
8.2.6a	A card with subtype arrow can only be played from arsenal, and only if the player controls an object with the subtype bow.
8.2.7.	Trap
8.2.7a	A card with subtype trap can only be played from the arsenal.
8.2.8.	Ally
8.2.8a	An object with the subtype ally, is referred to as an “ally”.
8.2.8b	If an ally ceases to exist, it is considered to have died. (See Rule 2.5.3g)
8.2.8c	During the End Phase, an ally’s life total is reset to its base life. (See Section 4.4 - End Phase)
8.2.8d	If a player activates an attack ability of an ally, the controlling player and their hero do not become an attacking hero; and the player cannot play or activate attack reaction cards or abilities during the reaction step of combat. (See Rule 7.2.4b)
8.2.8e	If an ally is the target of an attack, the controlling player and their hero do not become a defending hero; and the player cannot declare defending cards or play or activate defense reaction cards or abilities during the reaction step of combat (See Rule 7.2.4c)
8.2.8f	If an ally deals damage, the controlling player and their hero are not considered to have dealt damage.
8.2.8g	If an ally is dealt damage, the controlling player and their hero are not considered to have been dealt damage.
8.2.9.	Landmark
8.2.9a	If card with subtype landmark resolves as a layer on the stack, it enters the arena.
8.2.9b	If a card with the subtype landmark enters the arena, it is considered a permanent in the arena, and all other permanents with the subtype landmark are cleared. (See Rule 3.0.12)
8.2.10.	Off-hand
8.2.10a	A card with the type equipment and the subtype off-hand occupies one weapon zone.
8.2.10b	A player can start the game with up to one off-hand equipment in their weapon zone.
8.2.11.	Affliction
8.2.11a	If a card with the subtype affliction resolves as a layer on the stack, it enters the arena.
8.2.11b	If an object with the subtype affliction enters the arena, it is considered a permanent in the arena.
8.2.11c	As an object with the subtype affliction enters the arena, its owner declares an opponent and the object enters the arena under the control of that player. If the object can not enter the arena under the control of that player, it is cleared and is not considered to have entered the arena.
8.2.12.	Invocation
8.2.12a	If a card with the subtype invocation resolves as a layer on the stack, it enters the arena. (See Section 9.1 - Double-Faced Cards)
8.3.	Ability Keywords
8.3.1.	Attack
8.3.1a	Attack is a special resolution ability. A layer with the attack ability is an attack-layer.
8.3.1b	When an attack-layer resolves on the stack, its source becomes an attack and chain link on the combat chain. Effects that applied to the attack-layer apply to the source as an attack instead.
8.3.1c	If attack-layer is added to the stack, the combat chain opens (if it is closed) and the layer step of combat begins. (See Section 7.1 - Layer Step)
8.3.1d	To add an attack-layer onto the stack, a legal attackable target must be declared as the target of the attack. (See Rule 7.0.5a)
8.3.2.	Battleworn
8.3.2a	Battleworn is a triggered-static ability. Battleworn means “When the combat chain closes, if this defended, put a −1 {d} counter on it.”
8.3.3.	Blade Break
8.3.3a	Blade break is a triggered-static ability. Blade break means “When the combat chain closes, if this defended, destroy it.”
8.3.4.	Dominate
8.3.4a	Dominate is a static ability. Dominate means “The defending hero cannot defend or play with more than 1 defending card or defense reaction from their hand this chain link.”
8.3.4b	If a player has already played or defended with two or more defense reactions and/or defending cards from hand, then the attack gains dominate, the existing defense reactions and/or defending cards remain as they are.
8.3.4c	If a player has already played or defended with defense reaction or defending card from hand, they cannot play any additional defending cards, even if the defense reaction or defending card is no longer defending the attack with dominate.
8.3.5.	Go again
8.3.5a	Go again is a resolution ability. Go again means “Gain 1 action point.”
8.3.5b	If go again is an ability of an attack, it does not resolve when the resolution abilities of an attack resolve during the attack step of combat - instead it resolves at the end of the resolution step of combat. (See Rule 7.7.2)
8.3.5c	An object cannot have more than one “go again” ability. i. If an effect would give the “go again” ability to an object that already has the “go again” ability, then that part of the effect fails.
8.3.6.	Legendary
8.3.6a	Legendary is a meta static ability. Legendary means “You may only have 1 this in your deck.” where the term deck refers to the registered deck in constructed formats and the starting deck in limited formats. (See Rule 1.1.3)
8.3.7.	Specialization
8.3.7a	Specialization is a meta static ability in the format “[HERO] Specialization”. Specialization means “You may only have this in your deck if your hero is [HERO].” where HERO is the moniker of the hero card. (See Rule 2.6.3)
8.3.8.	Arcane Barrier N
8.3.8a	Arcane Barrier N is a static ability that generates a damage replacement effect. Arcane Barrier N means “If your hero would be dealt arcane damage, you may pay N{r} to prevent N of that damage.”
8.3.9.	Boost
8.3.9a	Boost is an optional additional cost ability. Boost means “As an additional cost to play this, you may banish the top card of your deck. When you do, if it’s a Mechanologist card, this gains go again.”
8.3.9b	A player who has paid the addition cost in boost is considered to have boosted, regardless of whether or not a Mechanologist was banished by boost.
8.3.9c	A player cannot boost if they cannot pay the additional cost of banishing the top card of their deck.
8.3.10.	Temper
8.3.10a	Temper is a triggered-static ability. Temper means “When the combat chain closes, if this defended, put a -1 {d} counter on it, then destroy it if it has zero {d} .”
8.3.11.	Blood Debt
8.3.11a	Blood debt is a triggered-static ability. Blood debt means “At the beginning of your end phase, if this is in your banished zone, lose 1{h}.”.
8.3.11b	Blood debt only triggers if its source is public in the banished zone at the beginning of the owner’s end phase.
8.3.12.	Mentor (obsolete) Note: The Mentor ability has been superseded by the Mentor type (See Rule 8.1.9)
8.3.12a	Mentor is a meta-static ability. Mentor means “You may only have this in your deck if your hero is young.”.
8.3.13.	Phantasm
8.3.13a	Phantasm is a state-based triggered-static ability. Phantasm means “Whenever this is defended by a non-Illusionist attack action card with 6 or more {p}, destroy this and close the combat chain.”
8.3.13b	If an attack with Phantasm is defended by an object without the type illusionist, and the defending object has the power property with a value of 6 or more, then a triggered-layer is put on the stack. When the triggeredlayer resolves, if the trigger condition is still met, the attack is destroyed and the combat chain closes. (See Rule 7.8.2)
8.3.14.	Spectra
8.3.14a	Spectra is a static ability and an event-based triggered-static ability. Spectra means “this can be attacked. When this becomes the target of an attack, destroy it and close the combat chain. The attack does not resolve.”.
8.3.14b	An object with Spectra can be the target of an attack.
8.3.14c	When an object with Spectra becomes the target of an attack, a triggered-layer is put on the stack. When the triggered-layer resolves, if the object is still the target of the attack, the combat chain closes. (See Rule 7.8.2)
8.3.15.	Spellvoid N
8.3.15a	Spellvoid N is a static ability that generates a damage replacement effect. Spellvoid N means “If your hero would be dealt arcane damage, you may destroy this to prevent N of that damage.”
8.3.16.	Essence
8.3.16a	Essence is a meta-static ability in the format “Essence of [SUPERTYPES]”. Essence means “You may have [SUPERTYPES] cards in your deck, as though your hero had those supertypes.”, where SUPETYPES is a list of object supertypes.
8.3.17.	Fusion
8.3.17a	Fusion is an optional play-static ability in the format “[SUPERTYPES] Fusion”. Fusion means “As an additional cost to play this, you may reveal (a/an) [SUPERTYPES] card(s) from your hand.”, where SUPERTYPES is a specified combination of object supertypes.
8.3.17b	A player who has paid the additional cost of fusion is considered to have fused for those supertypes for the purposes of rules and effects.
8.3.17c	If the additional cost of fusion is paid for a card or ability, that card or ability is considered to have fused for the purposes of rules and effects.
8.3.17d	A player cannot fuse if they cannot pay the additional cost of revealing the card(s) with the specified supertypes from their hand.
8.3.18.	Heave N
8.3.18a	Heave N is a hidden triggered ability. Heave means “While this is in your hand and you have an empty arsenal zone, at the beginning of your end phase, you may pay N{r} and put this face up into your arsenal. If you do, create N Seismic Surge tokens”.
8.3.19.	Quell N
8.3.19a	Quell N is a static ability that generates a damage replacement effect. Quell N means “If your hero would be dealt damage, you may pay N{r} to prevent N of that damage. If you do, destroy this at the beginning of the end phase.”
8.3.20.	Ward N
8.3.20a	Ward N is a static ability that generates a damage replacement effect. Ward N means “If your hero would be dealt damage, prevent N of that damage and destroy this.”
8.4.	Label Keywords
8.4.1.	Combo
8.4.1a	A Combo ability is a resolution or static ability, typically written in the format “If [NAMES] was the last attack this combat chain, [EFFECTS]”, where NAMES specifies one or more names of the previous chain link (or current chain link if the source is not a chain link yet) for the condition to be true.
8.4.1b	If the attack of the previous (or current) chain link does not exist, last known information is used to determine its name for the purposes of a combo ability. (See Rule 1.2.5)
8.4.1c	If the EFFECTS of a combo ability specify additional costs, then the combo ability is a play-static ability, and is functional when the card is declared to be played.
8.4.1d	If the EFFECTS of a combo ability specify continuous effects, then the combo ability is a resolution ability, and is functional when it resolves during combat.
8.4.2.	Crush
8.4.2a	A Crush ability is a triggered-static ability, typically written in the format “When this deals 4 or more damage, [ABILITIES]”.
8.4.2b	The Crush ability is conditional on an event that deals damage, not a hit-event. Rule 7.5.3
8.4.3.	Reprise
8.4.3a	Reprise is an ability label.
8.4.3b	A Reprise ability is a resolution ability in the format “If the defending hero has defended with a card from their hand this chain link, [ABILITIES]”.
8.4.3c	The condition of a reprise ability effect is checked on resolution - it does not retroactively generate effects if the condition is met later.
8.4.4.	Channel [SUPERTYPE]
8.4.4a	A Channel ability is a triggered-static ability, typically written in the format “At the beginning of your end phase, put a flow counter on this then destroy it unless you put a [SUPERTYPE] card from your pitch zone on the bottom of your deck for each flow counter on it.”.
8.4.5.	Material
8.4.5a	A Material ability is a while-static ability, typically written in the format “While this is under a permanent, [EFFECTS]”.
8.4.6.	Rupture
8.4.6a	A Rupture ability is a static ability, typically written in the format “If this is played [as / at] chain link 4 or higher, [EFFECTS]”.
8.5.	Effect Keywords
8.5.1.	Banish
8.5.1a	Banish is a discrete effect.
8.5.1b	To banish an object, move it to its owner’s banished zone.
8.5.1c	If an object is banished but a replacement effect modifies the destination to a zone other than the banished zone, the card is still considered banished.
8.5.1d	Moving a card to the banished zone because of a rule or effect other than banish is not considered banishing that card.
8.5.2.	Create
8.5.2a	Create is a discrete effect.
8.5.2b	To create a token, produce the specified token in the arena.
8.5.2c	The properties of a created token, specified by name, are defined in Section 8.6 - Token Keywords.
8.5.2d	A token enters the arena as it is created. If an effect applies to the created token as it is created, it applies as it enters the arena.
8.5.3.	Deal [X] [TYPE?] damage
8.5.3a	Deal [X] [TYPE?] damage is a discrete effect.
8.5.3b	To deal [X] [TYPE?] damage to a living object, that object loses {h} equal to the damage dealt. If an non-living object would be dealt damage, the effect fails. (See Rule 2.5.1)
8.5.3c	If the amount of damage is reduced to 0, the effect immediately fails.
8.5.3d	When an effect deals damage, the ability that generated the damage effect and the source of the damage effect are considered to have dealt that damage. If the effect specifies the source of the damage, then that source is considered to have dealt that damage instead. If the damage source is a non-living card, the player that controls that source, and their hero, are also considered to have dealt that damage.
8.5.3e	There are 3 types of damage: generic damage, physical damage, and arcane damage. Generic damage, is damage without a specified type - it is simply referred to as “damage”. Physical damage is damage dealt by an object using its power value {p} during the damage step of combat - it is referred to as “{p} damage” (see Section 7.5 - Damage Step). Arcane damage is damage dealt by an effect that specifically deals arcane damage.
8.5.3f	An effect that causes life loss is not considered damage.
8.5.3g	An effect that modifies or prevents damage of a specific type (other than generic damage), cannot modify or prevent damage of any other type.
8.5.3h	An effect that triggers from damage of a specific type being dealt (other than generic damage) does not trigger from damage of any other type being dealt.
8.5.4.	Destroy
8.5.4a	Destroy is a discrete effect.
8.5.4b	To destroy an object, move it to its owner’s graveyard.
8.5.4c	Destroying a non-card object means it ceases to exist.
8.5.4d	Moving an object to the graveyard because of a rule or effect other than destroy does not count as destroying that object.
8.5.5.	Discard
8.5.5a	Discard is a discrete effect.
8.5.5b	To discard a card from a player’s hand, move it from the player’s hand to their graveyard.
8.5.5c	If the effect does not specify how the discarded card is selected, the player may choose the card in their hand to be discarded.
8.5.5d	If a card is discarded but a replacement effect modifies the the destination to a zone other than the graveyard, the card is still considered discarded.
8.5.5e	Moving a card to the graveyard because of a rule or effect other than discard is not considered discarding that card.
8.5.6.	Draw
8.5.6a	Draw is a discrete effect.
8.5.6b	To draw a card, move the top card of the deck to the player’s hand.
8.5.6c	If a player tries to draw a card when there are no cards in their deck, the draw fails.
8.5.7.	Gain [ASSET] / Lose [ASSET]
8.5.7a	Gain/Lose [ASSET] is a discrete effect.
8.5.7b	For a player to gain an asset, their assets of the given type are increased/decreased by the specified amount.
8.5.8.	Gain [X]{h} / Lose [X]{h}
8.5.8a	Gain/Lose [X]{h} is a discrete effect.
8.5.8b	For a living object to gain/lose {h}, its life total is increased/decrease by the specified amount.
8.5.8c	Gaining or losing life does not modify the life value of the object.
8.5.8d	Losing life is not considered as damage being dealt, unless it is the result of a damage effect. (See Rule 8.5.3).
8.5.8e	Losing life is not considered as a hit, unless it is the result of damage being dealt by an attack during the damage step of combat. (See Rule 7.5.3)
8.5.8f	The life total of a living object cannot be reduced below 0. If a life loss effect would reduce a living object’s life total below zero, it instead reduces it to 0.
8.5.9.	Gains / Gets / Has / Is / Loses
8.5.9a	Gains/Gets/Has/Is/Loses is a continuous effects, referred to as “modify”. Their plurals are gain/get/have/are/lose respectively.
8.5.9b	To modify an object, the properties of that object are altered as specified.
8.5.9c	If the effect specifies to alter an existing property of the object, but the object does not have that property, it does not give it that property.
8.5.9d	If the effect specifies to alter the object by giving it a non-numerical property, and the object already has that property, it is added to its existing property.
8.5.9e	If the effect specifies to alter the object by giving it a numerical property, and the object already has that property, it sets value of that property.
8.5.9f	If this effect applies to an object without the defense/intellect/power property, the object does not gain that property.
8.5.10.	Intimidate
8.5.10a	Intimidate is a discrete effect and continuous triggered effect. Intimidate means “Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owner’s hand.”.
8.5.10b	The triggered effect only returns the cards banished by its ability. If there are two or more temporary triggered effects created by separate intimidate abilities, they each only return the cards banished by their respective intimidate abilities.
8.5.11.	Look
8.5.11a	Look is a discrete effect.
8.5.11b	To look at a private card, show the card to intended player(s) for a brief period of time before returning the card.
8.5.11c	Look behaves the same as reveal except that the card(s) are shown only to the specified player(s) and looking at card(s) this way is not considered revealing for the purposes of triggered and replacement effects. (See Rule 8.5.13)
8.5.12.	Add / Put / Return
8.5.12a	Put / Return is a discrete effect.
8.5.12b	To add/put a counter to/onto an object, a specified counter begins to exist on the object.
8.5.12c	To put/return an object to/into a zone, move it from its current zone to the specified zone.
8.5.12d	To put/return an object into/to a zone as a public/private object, first make the object public/private, then move it from its current zone to the specified zone. (See Rule 3.0.8)
8.5.12e	To add an object to a chain link as a defending object, move it from its current zone to that chain link and it becomes a public defending object.
8.5.13.	Reveal
8.5.13a	Reveal is a discrete effect.
8.5.13b	To reveal a private card, show the card to all players for a brief period of time before returning the card.
8.5.13c	A revealed card becomes a public object until the effect is complete. When the card stops being revealed it returns to being a private object. The fact that all players know what the properties of the card are, does not change the card being a private object after it has been revealed.
8.5.13d	A public card cannot be revealed.
8.5.13e	All players must be given a reasonable opportunity to see the card while it is revealed, to confirm the properties of the card and how it applies to the game state.
8.5.13f	Revealing a card does not change the zone the card is in.
8.5.13g	If two or more cards are revealed, and the effect does not state that the revealed cards can be returned in any order, the cards must be returned in the same order as they were before being revealed.
8.5.13h	If a player accidentally or voluntarily shows their opponent(s) a card from anything other than a reveal effect, that card is not considered to be revealed.
8.5.14.	Remove
8.5.14a	Remove is a discrete effect.
8.5.14b	To remove a counter from an object, a specified counter ceases to exist on the object.
8.5.14c	If there are two or more of the same counters on an object, it is irrelevant which of those counters is removed.
8.5.14d	If two or more counters are removed, they are removed simultaneously in a single event.
8.5.15.	Roll
8.5.15a	Roll is a discrete effect.
8.5.15b	To roll a die, toss the die onto a flat surface. The value of the uppermost face of the die is used as the result of the roll.
8.5.15c	A roll is specified with the number and type of dice to roll. If two or more dice are specified then all dice are rolled simultaneously.
8.5.15d	A die used in a roll must have uniquely distinguishable faces, with each face representative of a distinct integer value from one up to, and including, the number of faces on the die; and an equal likelihood that it will land face up.
8.5.16.	Search
8.5.16a	Search is a discrete effect.
8.5.16b	To search for a card in a zone, the player will look through all the cards in that zone and select a card with properties that meet the effect description (if any).
8.5.16c	If the search is performed on a non-empty zone for a card with defined properties and there are no public cards with the defined properties in that zone, the search may fail to select a card. Even in the case that there is one or more private cards with the defined properties in that zone, the player may choose to fail to select a card.
8.5.16d	If the search is performed on a non-empty zone for a card with defined properties and there is one or more public cards with the defined properties in that zone, the search cannot fail to select a card.
8.5.16e	If the search is performed on a non-empty zone for a card with no defined properties, the search cannot fail to select a card.
8.5.17.	Shuffle
8.5.17a	Shuffle is a discrete effect.
8.5.17b	To shuffle a zone, re-order the cards randomly such that no one knows their order.
8.5.17c	To shuffle a set of cards into a zone, move that set of cards into the zone, then shuffle that zone.
8.5.17d	If there are no cards in the set of cards to shuffle into a zone, the zone is still shuffled.
8.5.17e	If there are no cards in the zone to shuffle, the zone is still considered shuffled for the purposes of effects.
8.5.18.	Name
8.5.18a	Name is a discrete effect.
8.5.18b	To name an object, declare the name property of an object.
8.5.18c	An object can not be named using its moniker, the full name of the object must be declared.
8.5.19.	Opt [X]
8.5.19a	Opt [X] is a discrete effect. Opt [X] means “Look at the top X cards of your deck. You may put them on the top and/or bottom in any order.”.
8.5.19b	To opt [X], look at the top X cards of your deck, then put any number of those cards on the top or bottom of your deck in any order.
8.5.19c	If the deck has less than X cards, the player will look at all cards in their deck and put them back in any order.
8.5.20.	Reload
8.5.20a	Reload is a discrete effect. Reload means “If you have no cards in your arsenal, you may put a card from your hand face down into your arsenal.”.
8.5.20b	To reload a card, if the player’s arsenal is empty and they choose to do so, move it from the player’s hand to their arsenal face down.
8.5.20c	If the player has multiple arsenal zones, all of those arsenal zones must be empty for the player’s arsenal to be considered empty.
8.5.21.	Turn
8.5.21a	Turn is a discrete effect.
8.5.21b	To turn a card face up or down, that card becomes public (face up) or private (face down) respectively.
8.5.21c	If the card that is already in the orientation specified by the turn effect, then the effect fails.
8.5.22.	Become / Copy
8.5.22a	Become/Copy is a continuous effect.
8.5.22b	For a subject object to become/copy a specified object, the subject loses all existing properties and gains all of the properties of the specified object.
8.5.22c	The copyable properties of a card are determined by the printed properties on that card - properties that are derived from printed properties (abilities, type, supertypes, subtypes) are not duplicated (doubled up) on the subject. The copyable properties of a token are determined by the properties that token was created with.
8.5.22d	If the specified object has any determined parameters from when it was played, activated, or otherwise created, those parameters are also used by the subject.
